classification,run_directory,environment_id,source_commit,workers,offered_concurrency,n,median_burst_wall_ms,p95_burst_wall_ms,p99_burst_wall_ms,median_accepted_verifications,median_saturated_verifications,median_verification_ops_per_second,p95_verification_ops_per_second,saturation_fraction,unexpected_error_fraction,throughput_tps,notes
MEASURED,publication-load-m2-20260815-v2,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers1,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,1,128,100,17.414146000000002,17.8335756,18.360479410000007,65.0,63.0,3732.597626484847,3803.495450551406,0.492265625,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-load-m2-20260815-v2,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers2,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,2,1,100,0.1527085,0.17777084999999998,0.21023991000000022,1.0,0.0,6548.428380872145,6834.26893315857,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-load-m2-20260815-v2,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers2,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,2,2,100,0.1846255,0.22733574999999995,0.25717375000000015,2.0,0.0,10832.748599625205,11670.88281354297,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-load-m2-20260815-v2,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers2,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,2,4,100,0.3442495,0.38869555,0.41565750000000007,4.0,0.0,11619.479645231833,12794.740132739445,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-load-m2-20260815-v2,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers2,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,2,8,100,0.673021,0.81251425,0.8888995800000001,8.0,0.0,11886.784209253154,12999.34784075229,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-load-m2-20260815-v2,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers2,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,2,16,100,2.2772085,2.95390445,3.12171134,16.0,0.0,7026.146268694266,9766.05969589296,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-load-m2-20260815-v2,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers2,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,2,64,100,15.557125,15.88322945,16.180656250000002,64.0,0.0,4113.870722112585,4911.382183197399,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-load-m2-20260815-v2,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers2,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,2,65,100,15.7892085,16.16524195,16.394186660000003,65.0,0.0,4116.735807962417,4177.257085286883,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-load-m2-20260815-v2,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers2,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,2,128,100,16.938958,17.44690865,18.17932375000025,66.0,62.0,3880.764456908004,3933.3330445428633,0.4875,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-load-m2-20260815-v2,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,4,1,100,0.1550205,0.27142079999999996,0.3192134200000002,1.0,0.0,6450.769175267815,6728.6290983037525,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-load-m2-20260815-v2,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,4,2,100,0.1847915,0.22056249999999997,0.31473491000000076,2.0,0.0,10823.00917991384,11500.291030249566,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-load-m2-20260815-v2,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,4,4,100,0.28225,0.37304375,0.41417500000000007,4.0,0.0,14171.858497162431,16502.342728369014,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-load-m2-20260815-v2,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,4,8,100,0.7396665,0.9017024,0.9252336600000002,8.0,0.0,10815.685725073821,13641.889264458745,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-load-m2-20260815-v2,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,4,16,100,2.4535204999999998,3.12458475,3.1891697600000004,16.0,0.0,6521.274146270378,9099.754055186959,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-load-m2-20260815-v2,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,4,64,100,16.166791500000002,16.44931665,16.68343283,64.0,0.0,3958.7327495115255,4653.417134284141,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-load-m2-20260815-v2,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,4,65,100,16.414729,16.6420809,16.77985133,65.0,0.0,3959.858256512118,4057.9937380479214,0.0003076923076923077,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-load-m2-20260815-v2,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,4,128,100,18.5093545,20.45548895,22.19109616000002,65.0,63.0,3563.71147277428,3783.9292999435957,0.4875,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-load-m2-20260815-v3,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers1,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,1,1,100,0.2015835,0.3919169999999999,0.4818536600000011,1.0,0.0,4960.740593347618,6559.324075839149,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-load-m2-20260815-v3,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers1,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,1,2,100,0.2805625,0.35564999999999997,0.44978500000000066,2.0,0.0,7128.5396061517595,7667.120661575533,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-load-m2-20260815-v3,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers1,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,1,4,100,0.5595829999999999,0.62002885,0.6619483300000004,4.0,0.0,7148.180024292279,7576.116616400976,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-load-m2-20260815-v3,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers1,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,1,8,100,1.0536665,1.1029562499999999,1.1441156600000002,8.0,0.0,7592.535398782875,8092.838951037292,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-load-m2-20260815-v3,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers1,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,1,16,100,2.3830210000000003,3.24842565,3.3531736700000008,16.0,0.0,6714.166598297925,8036.793482624732,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-load-m2-20260815-v3,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers1,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,1,64,100,16.42475,17.0941851,17.27512908,64.0,0.0,3896.558631693773,4699.476496011667,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-load-m2-20260815-v3,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers1,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,1,65,100,17.1335415,17.76669615,17.971498160000003,65.0,0.0,3793.7284327266925,3948.6739504240954,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-load-m2-20260815-v3,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers1,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,1,128,100,17.849625,18.5395104,18.949838670000073,65.0,63.0,3641.5331826810543,3802.779436043665,0.4921875,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-load-m2-20260815-v3,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers2,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,2,1,100,0.16029149999999998,0.21508924999999995,0.31880000000000014,1.0,0.0,6238.633988762536,6770.398421033261,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-load-m2-20260815-v3,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers2,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,2,2,100,0.194479,0.23326455000000001,0.279233,2.0,0.0,10283.88963302561,11418.357665777037,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-load-m2-20260815-v3,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers2,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,2,4,100,0.3559165,0.41038925,0.44000116000000056,4.0,0.0,11238.59861267053,12523.425168676666,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-load-m2-20260815-v3,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers2,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,2,8,100,0.7153754999999999,0.91679345,0.9826240800000005,8.0,0.0,11183.029264298617,12647.882777804965,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
