classification,suite,layer,algorithm,operation,payload_profile,message_bytes,n,valid_n,valid_fraction,mean_wall_ns,median_wall_ns,stdev_wall_ns,cv_wall,min_wall_ns,p95_wall_ns,p99_wall_ns,max_wall_ns,median_ci95_low_ns,median_ci95_high_ns,mean_cpu_ns,throughput_ops_per_second,mad_outlier_count,outlier_policy,max_rss_bytes,public_key_bytes,private_key_bytes,signature_bytes_min,signature_bytes_median,signature_bytes_max,ciphertext_bytes,shared_secret_bytes,results
MEASURED,aegis,aegis_domain_wrapper,ML-DSA-65,verify_cache_hit,large16384,16384,2,2,1.0,37874.5,37874.5,1885.8537854245224,0.049792176409576956,36541.0,39074.65,39181.33,39208.0,36541.0,39208.0,38000.0,26402.988818334234,0,retained_all_samples,48070656,0,0,3309,3309.0,3309,0,0,accepted_cache_hit
MEASURED,aegis,aegis_domain_wrapper,ML-DSA-65,verify_cache_hit,medium256,256,2,2,1.0,10646.0,10646.0,796.2022356160525,0.0747888630110889,10083.0,11152.7,11197.74,11209.0,10083.0,11209.0,11000.0,93931.99323689648,0,retained_all_samples,48054272,0,0,3309,3309.0,3309,0,0,accepted_cache_hit
MEASURED,aegis,aegis_domain_wrapper,ML-DSA-65,verify_cache_hit,small64,64,2,2,1.0,10229.0,10229.0,619.4255403194156,0.060555825625126174,9791.0,10623.2,10658.24,10667.0,9791.0,10667.0,10000.0,97761.26698602014,0,retained_all_samples,48054272,0,0,3309,3309.0,3309,0,0,accepted_cache_hit
MEASURED,aegis,aegis_domain_wrapper,ML-DSA-65,verify_cache_hit,transaction512,512,2,2,1.0,10917.0,10917.0,707.1067811865476,0.0647711625159428,10417.0,11367.0,11407.0,11417.0,10417.0,11417.0,11000.0,91600.25648071815,0,retained_all_samples,48070656,0,0,3309,3309.0,3309,0,0,accepted_cache_hit
MEASURED,aegis,aegis_domain_wrapper,ML-DSA-65,verify_cache_hit,vote192,192,2,2,1.0,9521.0,9521.0,1030.9616869699862,0.1082829205934236,8792.0,10177.1,10235.42,10250.0,8792.0,10250.0,10000.0,105030.9841403214,0,retained_all_samples,48054272,0,0,3309,3309.0,3309,0,0,accepted_cache_hit
MEASURED,aegis,aegis_domain_wrapper,ML-DSA-65,verify_cache_miss,block4096,4096,2,2,1.0,136729.0,136729.0,6157.485850572456,0.04503423451186256,132375.0,140647.6,140995.92,141083.0,132375.0,141083.0,140000.0,7313.737392945169,0,retained_all_samples,48070656,0,0,3309,3309.0,3309,0,0,accepted_cache_miss
MEASURED,aegis,aegis_domain_wrapper,ML-DSA-65,verify_cache_miss,digest32,32,2,2,1.0,134875.0,134875.0,6717.514421272202,0.04980548227078555,130125.0,139150.0,139530.0,139625.0,130125.0,139625.0,143000.0,7414.272474513438,0,retained_all_samples,48054272,0,0,3309,3309.0,3309,0,0,accepted_cache_miss
MEASURED,aegis,aegis_domain_wrapper,ML-DSA-65,verify_cache_miss,large16384,16384,2,2,1.0,197708.5,197708.5,9251.0780182636,0.04679150374548186,191167.0,203595.85,204119.17,204250.0,191167.0,204250.0,202000.0,5057.951479071461,0,retained_all_samples,48070656,0,0,3309,3309.0,3309,0,0,accepted_cache_miss
MEASURED,aegis,aegis_domain_wrapper,ML-DSA-65,verify_cache_miss,medium256,256,2,2,1.0,122938.0,122938.0,5627.155764682545,0.04577230607853182,118959.0,126519.1,126837.42,126917.0,118959.0,126917.0,127000.0,8134.18145731995,0,retained_all_samples,48054272,0,0,3309,3309.0,3309,0,0,accepted_cache_miss
MEASURED,aegis,aegis_domain_wrapper,ML-DSA-65,verify_cache_miss,small64,64,2,2,1.0,117791.5,117791.5,3889.794403307198,0.0330227087973852,115041.0,120266.95,120486.99,120542.0,115041.0,120542.0,120000.0,8489.576921934095,0,retained_all_samples,48054272,0,0,3309,3309.0,3309,0,0,accepted_cache_miss
MEASURED,aegis,aegis_domain_wrapper,ML-DSA-65,verify_cache_miss,transaction512,512,2,2,1.0,117166.0,117166.0,1237.4368670764582,0.010561398930376203,116291.0,117953.5,118023.5,118041.0,116291.0,118041.0,120500.0,8534.899202840414,0,retained_all_samples,48070656,0,0,3309,3309.0,3309,0,0,accepted_cache_miss
MEASURED,aegis,aegis_domain_wrapper,ML-DSA-65,verify_cache_miss,vote192,192,2,2,1.0,138271.0,138271.0,33911.42701214445,0.24525335762484143,114292.0,159852.1,161770.41999999998,162250.0,114292.0,162250.0,140500.0,7232.174497906285,0,retained_all_samples,48054272,0,0,3309,3309.0,3309,0,0,accepted_cache_miss
MEASURED,aegis,aegis_domain_wrapper,ML-DSA-87,sign_domain,block4096,4096,1,1,1.0,628542.0,628542.0,0.0,0.0,628542.0,628542.0,628542.0,628542.0,628542.0,628542.0,628000.0,1590.9835778675092,0,retained_all_samples,48218112,0,0,4627,4627,4627,0,0,domain_signature_generated
MEASURED,aegis,aegis_domain_wrapper,ML-DSA-87,sign_domain,digest32,32,1,1,1.0,306166.0,306166.0,0.0,0.0,306166.0,306166.0,306166.0,306166.0,306166.0,306166.0,307000.0,3266.2019949961787,0,retained_all_samples,48218112,0,0,4627,4627,4627,0,0,domain_signature_generated
MEASURED,aegis,aegis_domain_wrapper,ML-DSA-87,sign_domain,large16384,16384,1,1,1.0,412625.0,412625.0,0.0,0.0,412625.0,412625.0,412625.0,412625.0,412625.0,412625.0,413000.0,2423.508027870342,0,retained_all_samples,48218112,0,0,4627,4627,4627,0,0,domain_signature_generated
MEASURED,aegis,aegis_domain_wrapper,ML-DSA-87,sign_domain,medium256,256,1,1,1.0,226375.0,226375.0,0.0,0.0,226375.0,226375.0,226375.0,226375.0,226375.0,226375.0,227000.0,4417.448923246825,0,retained_all_samples,48218112,0,0,4627,4627,4627,0,0,domain_signature_generated
MEASURED,aegis,aegis_domain_wrapper,ML-DSA-87,sign_domain,small64,64,1,1,1.0,444750.0,444750.0,0.0,0.0,444750.0,444750.0,444750.0,444750.0,444750.0,444750.0,433000.0,2248.4541877459246,0,retained_all_samples,48218112,0,0,4627,4627,4627,0,0,domain_signature_generated
