classification,suite,layer,algorithm,operation,payload_profile,message_bytes,n,valid_n,valid_fraction,mean_wall_ns,median_wall_ns,stdev_wall_ns,cv_wall,min_wall_ns,p50_wall_ns,p90_wall_ns,p95_wall_ns,p99_wall_ns,max_wall_ns,median_ci95_low_ns,median_ci95_high_ns,mean_cpu_ns,total_work_units,throughput_ops_per_second,mad_outlier_count,outlier_policy,max_rss_bytes,public_key_bytes,private_key_bytes,signature_bytes_min,signature_bytes_median,signature_bytes_max,ciphertext_bytes,shared_secret_bytes,unsigned_serialized_bytes,serialized_bytes,authentication_bytes,item_count,results
MEASURED,aegis,aegis_domain_wrapper_p2p,FN-DSA-1024,sign_domain,kilobyte1024,1024,1,1,1.0,6594042.0,6594042.0,0.0,0.0,6594042.0,6594042.0,6594042.0,6594042.0,6594042.0,6594042.0,6594042.0,6594042.0,6495000.0,1,151.65205195841943,0,retained_all_samples,49233920,0,0,1265,1265,1265,0,0,0,0,0,0,domain_signature_generated
MEASURED,aegis,aegis_domain_wrapper_p2p,FN-DSA-1024,sign_domain,large16384,16384,1,1,1.0,7135709.0,7135709.0,0.0,0.0,7135709.0,7135709.0,7135709.0,7135709.0,7135709.0,7135709.0,7135709.0,7135709.0,6945000.0,1,140.14024394772824,0,retained_all_samples,49233920,0,0,1267,1267,1267,0,0,0,0,0,0,domain_signature_generated
MEASURED,aegis,aegis_domain_wrapper_p2p,FN-DSA-1024,sign_domain,medium256,256,1,1,1.0,6946458.0,6946458.0,0.0,0.0,6946458.0,6946458.0,6946458.0,6946458.0,6946458.0,6946458.0,6946458.0,6946458.0,6786000.0,1,143.95825901488212,0,retained_all_samples,49233920,0,0,1273,1273,1273,0,0,0,0,0,0,domain_signature_generated
MEASURED,aegis,aegis_domain_wrapper_p2p,FN-DSA-1024,sign_domain,small128,128,1,1,1.0,16811459.0,16811459.0,0.0,0.0,16811459.0,16811459.0,16811459.0,16811459.0,16811459.0,16811459.0,16811459.0,16811459.0,8588000.0,1,59.48323699923962,0,retained_all_samples,49233920,0,0,1276,1276,1276,0,0,0,0,0,0,domain_signature_generated
MEASURED,aegis,aegis_domain_wrapper_p2p,FN-DSA-1024,sign_domain,small64,64,1,1,1.0,26775584.0,26775584.0,0.0,0.0,26775584.0,26775584.0,26775584.0,26775584.0,26775584.0,26775584.0,26775584.0,26775584.0,9662000.0,1,37.347458042371734,0,retained_all_samples,49233920,0,0,1264,1264,1264,0,0,0,0,0,0,domain_signature_generated
MEASURED,aegis,aegis_domain_wrapper_p2p,FN-DSA-1024,sign_domain,transaction512,512,1,1,1.0,6533458.0,6533458.0,0.0,0.0,6533458.0,6533458.0,6533458.0,6533458.0,6533458.0,6533458.0,6533458.0,6533458.0,6397000.0,1,153.05830388746665,0,retained_all_samples,49233920,0,0,1266,1266,1266,0,0,0,0,0,0,domain_signature_generated
MEASURED,aegis,aegis_domain_wrapper_p2p,FN-DSA-1024,sign_domain,vote192,192,1,1,1.0,6817208.0,6817208.0,0.0,0.0,6817208.0,6817208.0,6817208.0,6817208.0,6817208.0,6817208.0,6817208.0,6817208.0,6659000.0,1,146.6876175701255,0,retained_all_samples,49233920,0,0,1264,1264,1264,0,0,0,0,0,0,domain_signature_generated
MEASURED,aegis,aegis_domain_wrapper_p2p,FN-DSA-1024,verify_cache_hit,block4096,4096,1,1,1.0,12083.0,12083.0,0.0,0.0,12083.0,12083.0,12083.0,12083.0,12083.0,12083.0,12083.0,12083.0,13000.0,1,82760.90374906894,0,retained_all_samples,49233920,0,0,1273,1273,1273,0,0,0,0,0,0,accepted_cache_hit
MEASURED,aegis,aegis_domain_wrapper_p2p,FN-DSA-1024,verify_cache_hit,digest32,32,1,1,1.0,6208.0,6208.0,0.0,0.0,6208.0,6208.0,6208.0,6208.0,6208.0,6208.0,6208.0,6208.0,7000.0,1,161082.47422680413,0,retained_all_samples,49233920,0,0,1274,1274,1274,0,0,0,0,0,0,accepted_cache_hit
MEASURED,aegis,aegis_domain_wrapper_p2p,FN-DSA-1024,verify_cache_hit,kilobyte1024,1024,1,1,1.0,9333.0,9333.0,0.0,0.0,9333.0,9333.0,9333.0,9333.0,9333.0,9333.0,9333.0,9333.0,11000.0,1,107146.68381013608,0,retained_all_samples,49233920,0,0,1273,1273,1273,0,0,0,0,0,0,accepted_cache_hit
