classification,suite,layer,algorithm,operation,payload_profile,message_bytes,n,valid_n,valid_fraction,mean_wall_ns,median_wall_ns,stdev_wall_ns,cv_wall,min_wall_ns,p50_wall_ns,p90_wall_ns,p95_wall_ns,p99_wall_ns,max_wall_ns,median_ci95_low_ns,median_ci95_high_ns,mean_cpu_ns,total_work_units,throughput_ops_per_second,mad_outlier_count,outlier_policy,max_rss_bytes,public_key_bytes,private_key_bytes,signature_bytes_min,signature_bytes_median,signature_bytes_max,ciphertext_bytes,shared_secret_bytes,unsigned_serialized_bytes,serialized_bytes,authentication_bytes,item_count,results
MEASURED,negative,aegis_submission_envelope,ML-DSA-65,reject_wrong_key_id,small64,64,1,1,1.0,292.0,292.0,0.0,0.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,1000.0,1,3424657.5342465756,0,retained_all_samples,9715712,1952,,3309,3309,3309,,,,,,1,rejected
MEASURED,negative,aegis_submission_envelope,ML-DSA-65,reject_wrong_key_id,transaction512,512,1,1,1.0,209.0,209.0,0.0,0.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,0.0,1,4784688.995215311,0,retained_all_samples,10027008,1952,,3309,3309,3309,,,,,,1,rejected
MEASURED,negative,aegis_submission_envelope,ML-DSA-65,reject_wrong_key_id,vote192,192,1,1,1.0,209.0,209.0,0.0,0.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,0.0,1,4784688.995215311,0,retained_all_samples,9863168,1952,,3309,3309,3309,,,,,,1,rejected
MEASURED,negative,aegis_submission_envelope,ML-DSA-65,reject_wrong_lifecycle_role,block4096,4096,1,1,1.0,167.0,167.0,0.0,0.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,0.0,1,5988023.952095808,0,retained_all_samples,10420224,1952,,3309,3309,3309,,,,,,1,rejected
MEASURED,negative,aegis_submission_envelope,ML-DSA-65,reject_wrong_lifecycle_role,digest32,32,1,1,1.0,208.0,208.0,0.0,0.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,0.0,1,4807692.307692308,0,retained_all_samples,9650176,1952,,3309,3309,3309,,,,,,1,rejected
MEASURED,negative,aegis_submission_envelope,ML-DSA-65,reject_wrong_lifecycle_role,kilobyte1024,1024,1,1,1.0,167.0,167.0,0.0,0.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,0.0,1,5988023.952095808,0,retained_all_samples,10190848,1952,,3309,3309,3309,,,,,,1,rejected
MEASURED,negative,aegis_submission_envelope,ML-DSA-65,reject_wrong_lifecycle_role,large16384,16384,1,1,1.0,209.0,209.0,0.0,0.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,0.0,1,4784688.995215311,0,retained_all_samples,11206656,1952,,3309,3309,3309,,,,,,1,rejected
MEASURED,negative,aegis_submission_envelope,ML-DSA-65,reject_wrong_lifecycle_role,medium256,256,1,1,1.0,125.0,125.0,0.0,0.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,0.0,1,8000000.0,0,retained_all_samples,9945088,1952,,3309,3309,3309,,,,,,1,rejected
MEASURED,negative,aegis_submission_envelope,ML-DSA-65,reject_wrong_lifecycle_role,small128,128,1,1,1.0,167.0,167.0,0.0,0.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,1000.0,1,5988023.952095808,0,retained_all_samples,9797632,1952,,3309,3309,3309,,,,,,1,rejected
MEASURED,negative,aegis_submission_envelope,ML-DSA-65,reject_wrong_lifecycle_role,small64,64,1,1,1.0,208.0,208.0,0.0,0.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,1000.0,1,4807692.307692308,0,retained_all_samples,9715712,1952,,3309,3309,3309,,,,,,1,rejected
