run_id,environment_id,source_commit,classification,suite,layer,algorithm,operation,payload_profile,message_bytes,iteration,warmup_iterations,wall_ns,cpu_ns,max_rss_bytes,valid,result,public_key_bytes,private_key_bytes,signature_bytes,ciphertext_bytes,shared_secret_bytes,notes
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,ML-DSA-87,sign,vote192,192,0,1,538500,540000,6979584,true,signature_generated,2592,4896,4627,0,0,"PQCManager includes key parsing, timestamping, allocation, and signature-registry insertion"
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,ML-DSA-87,verify_valid,vote192,192,0,1,221708,223000,6979584,true,accepted,2592,4896,4627,0,0,
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,negative,runtime_pqc_manager,ML-DSA-87,verify_tampered_signature,vote192,192,0,0,209791,211000,6979584,true,rejected,2592,0,4627,0,0,
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,ML-DSA-87,sign,medium256,256,0,1,289208,292000,6979584,true,signature_generated,2592,4896,4627,0,0,"PQCManager includes key parsing, timestamping, allocation, and signature-registry insertion"
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,ML-DSA-87,verify_valid,medium256,256,0,1,205958,206000,6979584,true,accepted,2592,4896,4627,0,0,
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,negative,runtime_pqc_manager,ML-DSA-87,verify_tampered_signature,medium256,256,0,0,207167,208000,6979584,true,rejected,2592,0,4627,0,0,
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,ML-DSA-87,sign,transaction512,512,0,1,288542,289000,6979584,true,signature_generated,2592,4896,4627,0,0,"PQCManager includes key parsing, timestamping, allocation, and signature-registry insertion"
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,ML-DSA-87,verify_valid,transaction512,512,0,1,206833,207000,6995968,true,accepted,2592,4896,4627,0,0,
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,negative,runtime_pqc_manager,ML-DSA-87,verify_tampered_signature,transaction512,512,0,0,203333,203000,6995968,true,rejected,2592,0,4627,0,0,
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,ML-DSA-87,sign,block4096,4096,0,1,780125,761000,7012352,true,signature_generated,2592,4896,4627,0,0,"PQCManager includes key parsing, timestamping, allocation, and signature-registry insertion"
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,ML-DSA-87,verify_valid,block4096,4096,0,1,212625,213000,7028736,true,accepted,2592,4896,4627,0,0,
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,negative,runtime_pqc_manager,ML-DSA-87,verify_tampered_signature,block4096,4096,0,0,213084,213000,7028736,true,rejected,2592,0,4627,0,0,
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,ML-DSA-87,sign,large16384,16384,0,1,340125,340000,7028736,true,signature_generated,2592,4896,4627,0,0,"PQCManager includes key parsing, timestamping, allocation, and signature-registry insertion"
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,ML-DSA-87,verify_valid,large16384,16384,0,1,259458,260000,7028736,true,accepted,2592,4896,4627,0,0,
